"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_total_marginal"
"Run: 1 Cov: none",1,0,0.132912551420756,0.253607989201886,0.367645454758609,0.754165995381252
"Run: 1 Cov: low",1,0.1,0.146149048904867,0.26135385686362,0.381891845672669,0.789394751441157
"Run: 1 Cov: medium",1,0.5,0.221596288545955,0.290341768816878,0.348298736433398,0.860236793796231
"Run: 1 Cov: high",1,0.9,0.282267810036597,0.296967856155196,0.305260666267004,0.884496332458797
"Run: 2 Cov: none",2,0,0.132758917785207,0.241710408744389,0.376341707879833,0.750811034409429
"Run: 2 Cov: low",2,0.1,0.138735197392762,0.261858621324861,0.375741507071621,0.776335325789244
"Run: 2 Cov: medium",2,0.5,0.222323254875543,0.288357785266318,0.338503149538288,0.849184189680149
"Run: 2 Cov: high",2,0.9,0.284395430221247,0.296039390404355,0.306230094360332,0.886664914985933
"Run: 3 Cov: none",3,0,0.120367590809276,0.257686334034192,0.382762934024189,0.760816858867656
"Run: 3 Cov: low",3,0.1,0.142028292016704,0.264743686642767,0.372753162515949,0.77952514117542
"Run: 3 Cov: medium",3,0.5,0.223756783380389,0.295510917814413,0.345054577472768,0.864322278667569
"Run: 3 Cov: high",3,0.9,0.285711249905526,0.296857158605912,0.307854194834888,0.890422603346327
"Run: 4 Cov: none",4,0,0.123644404676516,0.248840410899731,0.385343461019799,0.757828276596046
"Run: 4 Cov: low",4,0.1,0.152764946662981,0.255441205620368,0.375406136356129,0.783612288639478
"Run: 4 Cov: medium",4,0.5,0.223367681152202,0.287614385350339,0.34822455302028,0.859206619522821
"Run: 4 Cov: high",4,0.9,0.286686863314929,0.298487102618191,0.309265150203056,0.894439116136176
"Run: 5 Cov: none",5,0,0.130042204305042,0.240667209628863,0.382759045864025,0.75346845979793
"Run: 5 Cov: low",5,0.1,0.154402930257927,0.261429734064334,0.370290563712083,0.786123228034344
"Run: 5 Cov: medium",5,0.5,0.222440347590418,0.291388700009534,0.351592138152141,0.865421185752093
"Run: 5 Cov: high",5,0.9,0.283089593183205,0.297268540329991,0.307336273250433,0.887694406763629
